"Enabled","Enabled"
"Title","Title"
"New order status","New order status"
"Mode","Mode"
"Given by GPG","Given by GPG"
"NumSite","NumSite"
"Password","Password"
"VAD code","VAD code"
"Default currency","Default currency"
"Terminal identification","Terminal identification"
"Payment type","Payment type"
"Number of recurrence","Number of recurrence"
"Recurrence frequency","Recurrence frequency"
"Recurrence frequency in days","Recurrence frequency in days"
"Recurrence expiry date","Recurrence expiry date"
"Expiry date formatted by aaaa-MM-jj","Expiry date formatted by aaaa-MM-jj"
"Enable log","Enable log"
"%s times","%s times"
"Direct Payment","Direct Payment"
"Recurring Payment","Recurring Payment"
"Deferred Payment","Deferred Payment"
"Pre-Authorization Payment","Pre-Authorization Payment"
"Pre-Authorization Confirmation Payment","Pre-Authorization Confirmation Payment"
"Annual Subscription Payment","Annual Subscription Payment"
"Test mode","Test mode"
"Production mode","Production mode"
"GPG Checkout fraud detection","GPG Checkout fraud detection"
"GPG Checkout fraud detection, transaction id n° %s","GPG Checkout fraud detection, transaction id n° %s"
"GPG Checkout has authorized the payment","GPG Checkout has authorized the payment"
"GPG Checkout has authorized the payment, transaction id n° %s", "GPG Checkout has authorized the payment, transaction id n° %s"
"GPG Checkout payment failed or cancelled","GPG Checkout payment failed or cancelled"
"GPG Checkout payment failed or cancelled, transaction id n° %s","GPG Checkout payment failed or cancelled, transaction id n° %s"
"%s payment log informations for order n° %s : %s","%s payment log informations for order n° %s : %s"
"fraud detection due to unverified signature","fraud detection due to unverified signature"
"GPG Checkout payment error, please check details for more information.","GPG Checkout payment error, please check details for more information."
"Gateway Test Url","Gateway Test Url"
"Gateway Production Url","Gateway Production Url"
"Please wait while you are redirected to GPG Checkout payment server ...","Please wait while you are redirected to GPG Checkout payment server ..."
