"Enabled","Activé"
"Title","Titre"
"New order status","Statut des nouvelles commandes"
"Mode","Mode"
"Given by GPG","Transmis par GPG"
"NumSite","NumSite"
"Password","Mot de passe"
"VAD code","Code VAD"
"Default currency","Devise par défaut"
"Terminal identification","Identification du terminal"
"Payment type","Type de paiement"
"Number of recurrence","Nombre des récurrences"
"Recurrence frequency","Fréquence des récurrences"
"Recurrence frequency in days","Récurrecnes en jours"
"Recurrence expiry date","Date d'expiration des récurrences"
"Expiry date formatted by aaaa-MM-jj","Date d'expiration formatté en aaaa-MM-jj"
"Enable log","Activer les logs"
"%s times","%s fois"
"Direct Payment","Paiement direct"
"Recurring Payment","Paiement récurent"
"Deferred Payment","Paiement différé"
"Pre-Authorization Payment","Paiement pré-autorisation"
"Pre-Authorization Confirmation Payment","Paiement pré-autorisation confirmation"
"Annual Subscription Payment","Paiement abonnement annuel"
"Test mode","Mode test"
"Production mode","Mode production"
"GPG Checkout fraud detection","GPG Checkout détection de fraude"
"GPG Checkout fraud detection, transaction id n° %s","GPG Checkout : détection de fraude, id transaction n° %s"
"GPG Checkout has authorized the payment","GPG Checkout : paiement autorisé"
"GPG Checkout has authorized the payment, transaction id n° %s", "GPG Checkout : paiement autorisé, id transaction n° %s"
"GPG Checkout payment failed or cancelled","GPG Checkout : paiement échoué ou annulé"
"GPG Checkout payment failed or cancelled, transaction id n° %s","GPG Checkout : paiement échoué ou annulé, id transaction n° %s"
"%s payment log informations for order n° %s : %s","%s informations de paiement pour la commande n° %s : %s"
"fraud detection due to unverified signature","Détection de fraude liée à la signature invalide"
"GPG Checkout payment error, please check details for more information.","GPG Checkout - Erreur de paiement. Veuillez vérifier les détails pour plus d'informations."
"Gateway Test Url","Url du gateway de test"
"Gateway Production Url","Url du gateway de production"
"Please wait while you are redirected to GPG Checkout payment server ...","Veuillez patienter, vous allez être redirigé vers le serveur de paiement GPG Checkout ..."
